176.99,147.619,176.99,80.952,176.99,-552.381
177.38,147.619,177.38,80.952,177.38,-552.381
177.77,147.619,177.77,80.952,177.77,-552.381
178.16,24.365,178.16,77.157,178.16,107.107
178.55,384.615,178.55,46.154,178.55,838.462
178.94,363.158,178.94,857.895,178.94,331.579
179.33,144.776,179.33,22.388,179.33,-56.716
179.72,0,179.72,-109.375,179.72,159.375
180.11,-27.679,180.11,50.893,180.11,-9.821
180.5,-2842.857,180.5,-885.714,180.5,-1700
180.89,-64.706,180.89,291.176,180.89,-320.588
181.28,42.857,181.28,47.619,181.28,150
181.67,264,181.67,404,181.67,26
182.05,-3650,182.05,-1350,182.05,-2700
182.44,904,182.44,-160,182.44,-152
182.83,85.714,182.83,353.571,182.83,225
183.22,133.117,183.22,-10.39,183.22,38.961
183.61,-34.615,183.61,-21.795,183.61,-74.359
184,-33.962,184,-54.717,184,-116.981
184.39,96.703,184.39,28.571,184.39,124.176
184.78,-1266.667,184.78,-800,184.78,900
185.17,93.388,185.17,36.777,185.17,62.397
185.55,8.051,185.55,8.475,185.55,48.729
185.94,27.068,185.94,-95.489,185.94,-19.549
186.33,11.531,186.33,8.151,186.33,3.976
186.72,-34.74,186.72,-29.221,186.72,-58.766
187.11,40,187.11,-24.262,187.11,-14.754
187.5,10.602,187.5,-8.309,187.5,-2.865
187.89,-17.972,187.89,-15.207,187.89,4.147
188.27,-11.039,188.27,-9.74,188.27,18.831
188.66,4,188.66,-5.538,188.66,-14.462
189.05,12.079,189.05,36.634,189.05,36.04
189.44,7.824,189.44,19.315,189.44,22.738
189.83,12.95,189.83,36.211,189.83,-18.465
190.22,20.947,190.22,16.029,190.22,18.397
190.6,36.204,190.6,8.436,190.6,12.127
190.99,12.754,190.99,15.342,190.99,10.536
191.38,4.556,191.38,33.094,191.38,6.954
191.77,7.215,191.77,27.349,191.77,21.644
192.16,12.883,192.16,24.847,192.16,-20.245
192.54,1.653,192.54,3.099,192.54,-14.669
192.93,33.741,192.93,50.856,192.93,23.961
193.32,-0.224,193.32,-18.61,193.32,-15.695
193.71,1.072,193.71,5.63,193.71,-1.609
194.1,-71.196,194.1,-79.348,194.1,-124.457
194.48,1.596,194.48,-8.688,194.48,0
194.87,5.351,194.87,14.022,194.87,-24.539
195.26,39.678,195.26,13.47,195.26,12.738
195.65,10.829,195.65,-1.184,195.65,-1.354
196.04,13.688,196.04,25.282,196.04,16.103
196.42,1.217,196.42,-22.312,196.42,-18.053
196.81,-3.492,196.81,20.112,196.81,15.782
197.2,15.019,197.2,14.259,197.2,0.19
197.59,2.415,197.59,-0.483,197.59,-18.841
197.97,-0.988,197.97,4.743,197.97,-16.206
198.36,20.038,198.36,4.537,198.36,-13.422
198.75,-25.806,198.75,-11.183,198.75,-41.72
199.14,-14.313,199.14,-28.06,199.14,-32.58
199.52,29.224,199.52,-13.47,199.52,7.991
199.91,6.434,199.91,22.52,199.91,0
200.3,13.026,200.3,14.654,200.3,16.689
200.69,-14.286,200.69,-45.199,200.69,-19.438
201.07,-12.075,201.07,-6.122,201.07,-14.796
201.46,1.559,201.46,12.95,201.46,1.199
201.85,-20.768,201.85,-14.083,201.85,-4.552
202.23,4.061,202.23,16.497,202.23,10.66
202.62,5.535,202.62,-12.83,202.62,9.56
203.01,-1.284,203.01,5.563,203.01,2.282
203.4,-15.008,203.4,-23.272,203.4,-5.565
203.78,14.982,203.78,13.52,203.78,-3.776
204.17,0.342,204.17,1.025,204.17,-12.756
204.56,9.847,204.56,12.237,204.56,3.25
204.94,5.493,204.94,11.292,204.94,-2.442
205.33,23.379,205.33,9.3,205.33,22.27
205.72,9.324,205.72,5.21,205.72,11.609
206.1,-5.78,206.1,-12.432,206.1,-6.434
206.49,12.219,206.49,-6.967,206.49,9.432
206.88,-2.691,206.88,2.332,206.88,-7.354
207.26,-7.24,207.26,-1.784,207.26,0.944
207.65,0,207.65,-4.897,207.65,-7.399
208.04,14.777,208.04,18.587,208.04,-0.279
208.42,27.529,208.42,0.352,208.42,-2.199
208.81,1.235,208.81,18.182,208.81,2.357
209.2,-2.186,209.2,-12.022,209.2,5.683
209.58,17.732,209.58,18.85,209.58,14.936
209.97,5.219,209.97,6.818,209.97,12.626
210.36,19.264,210.36,4.88,210.36,10.531
210.74,9.606,210.74,9.37,210.74,5.748
211.13,6.827,211.13,2.327,211.13,9.465
211.51,-1.657,211.51,6.709,211.51,7.34
211.9,3.171,211.9,0.732,211.9,-5.041
212.29,-4.681,212.29,-8.959,212.29,-9.605
212.67,7.337,212.67,2.989,212.67,-0.883
213.06,-1.964,213.06,-2.128,213.06,-10.884
213.45,-8.096,213.45,-8.021,213.45,0.675
213.83,0.692,213.83,-0.231,213.83,-6.226
214.22,0.552,214.22,-2.208,214.22,2.83
214.6,2.342,214.6,-5.777,214.6,4.528
214.99,0.221,214.99,3.537,214.99,-0.59
215.38,7.38,215.38,3.44,215.38,7.63
215.76,-9.786,215.76,1.231,215.76,1.167
216.15,5.13,216.15,6.792,216.15,4.552
216.53,4.025,216.53,5.98,216.53,7.993
216.92,-6.12,216.92,-9.31,216.92,-9.049
217.3,-1.271,217.3,-2.668,217.3,-1.652
217.69,-8.842,217.69,-0.822,217.69,-4.935
218.08,-4.932,218.08,-4.337,218.08,-13.31
218.46,-1.755,218.46,-4.417,218.46,0
218.85,7.733,218.85,4.608,218.85,11.282
219.23,4.798,219.23,5.964,219.23,8.251
219.62,-6.051,219.62,-2.866,219.62,-7.097
220,0.926,220,4.718,220,-4.321
