177.07,200,177.07,-8500,177.07,-11500
177.47,200,177.47,-8500,177.47,-11500
177.86,200,177.86,-8500,177.86,-11500
178.25,13.441,178.25,19.355,178.25,7.527
178.64,-198.485,178.64,-131.818,178.64,-192.424
179.03,-221.739,179.03,-195.652,179.03,230.435
179.42,-1842.857,179.42,-2971.429,179.42,-2328.571
179.81,100.826,179.81,51.24,179.81,82.645
180.2,342.857,180.2,71.429,180.2,1100
180.59,-90.566,180.59,203.774,180.59,122.642
180.98,17.241,180.98,167.241,180.98,165.517
181.37,159.459,181.37,254.054,181.37,394.595
181.76,-494.118,181.76,100,181.76,-411.765
182.15,36.508,182.15,0.794,182.15,-71.429
182.54,84.404,182.54,81.651,182.54,55.963
182.93,-146.032,182.93,-266.667,182.93,-319.048
183.32,169.231,183.32,669.231,183.32,233.333
183.71,-23.188,183.71,263.768,183.71,169.565
184.1,45.205,184.1,33.562,184.1,63.014
184.49,-47.761,184.49,38.806,184.49,-38.806
184.88,-500,184.88,-533.333,184.88,133.333
185.27,264.516,185.27,308.065,185.27,333.871
185.66,-128.571,185.66,985.714,185.66,3042.857
186.05,75.833,186.05,40.833,186.05,100.833
186.44,-93.333,186.44,-173.333,186.44,-117.778
186.83,47.468,186.83,20.253,186.83,5.063
187.22,72.483,187.22,72.483,187.22,7.383
187.61,181.818,187.61,76.364,187.61,208.182
188,-235.714,188,-532.143,188,-375
188.39,0,188.39,27.7,188.39,-10.798
188.78,6.723,188.78,0.84,188.78,-93.277
189.17,1.493,189.17,0,189.17,-146.269
189.56,-42.857,189.56,-9.714,189.56,-69.143
189.95,52.475,189.95,-80.198,189.95,-135.644
190.34,10.588,190.34,3.529,190.34,-16.471
190.73,106.299,190.73,25.197,190.73,-16.535
191.12,0.5,191.12,21.5,191.12,-11.5
191.51,42.857,191.51,139.286,191.51,-85.714
191.9,-71.034,191.9,-23.448,191.9,-15.862
192.29,-16.667,192.29,2.381,192.29,-161.905
192.68,95,192.68,-287.5,192.68,-40
193.07,57.143,193.07,-15.873,193.07,-53.968
193.46,28.319,193.46,54.425,193.46,23.009
193.84,100,193.84,112.766,193.84,-2.128
194.23,50,194.23,35.345,194.23,18.103
194.62,47.34,194.62,-5.851,194.62,48.936
195.01,19.718,195.01,32.394,195.01,-38.028
195.4,4.959,195.4,38.017,195.4,-12.81
195.79,37.234,195.79,94.149,195.79,14.894
196.18,46.602,196.18,10.68,196.18,-85.437
196.57,25.431,196.57,28.448,196.57,6.466
196.96,41.751,196.96,16.162,196.96,-14.815
197.35,-7.96,197.35,-20.398,197.35,-6.965
197.73,155.696,197.73,-13.924,197.73,106.329
198.12,61.765,198.12,5.882,198.12,8.824
198.51,82.734,198.51,55.396,198.51,-17.986
198.9,23.353,198.9,-17.964,198.9,-26.946
199.29,90.811,199.29,41.081,199.29,-7.027
199.68,21.642,199.68,45.522,199.68,12.687
200.07,62.209,200.07,17.442,200.07,54.651
200.45,-77.895,200.45,48.421,200.45,-49.474
200.84,-3.65,200.84,-10.949,200.84,35.401
201.23,-15.354,201.23,-31.496,201.23,-68.11
201.62,-433.333,201.62,66.667,201.62,-1833.333
202.01,81.05,202.01,14.869,202.01,62.099
202.4,-61.446,202.4,-51.807,202.4,-83.133
202.79,-20.115,202.79,35.632,202.79,-74.138
203.17,15.429,203.17,-5.714,203.17,-17.714
203.56,4.633,203.56,-31.274,203.56,-5.019
203.95,45.652,203.95,81.304,203.95,79.565
204.34,23.684,204.34,221.053,204.34,-286.842
204.73,260,204.73,86.667,204.73,148.333
205.11,3080,205.11,3300,205.11,1920
205.5,35.266,205.5,-3.865,205.5,44.928
205.89,72.34,205.89,6.383,205.89,-102.128
206.28,106.25,206.28,-38.393,206.28,-17.857
206.67,27.184,206.67,11.65,206.67,-41.262
207.05,-13.439,207.05,12.253,207.05,-2.372
207.44,97.368,207.44,-117.105,207.44,-30.263
207.83,-236.709,207.83,-54.43,207.83,-156.962
208.22,238.947,208.22,262.105,208.22,10.526
208.61,54.589,208.61,-1.449,208.61,-32.367
208.99,101.01,208.99,-46.465,208.99,-137.374
